Qiime_ID,Input_ID,Genus,OTU,Taxa
>V4_3157,V4_AJ549929_Listeria_monocytogeneS,Listeria,14,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__;s__
>V4_3156,V4_AJ539225_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3159,V4_AJ577274_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3158,V4_AJ563290_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3405,V4_AY132089_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3404,V4_AY132088_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3403,V4_AY132087_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3402,V4_AY132086_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3401,V4_AY132085_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3400,V4_AY132084_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_5809,V4_HM439358_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_5808,V4_HM371402_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_5801,V4_HM355675_Staphylococcus_epidermidis,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_5800,V4_HM355667_Staphylococcus_epidermidis,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_5803,V4_HM358155_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_5802,V4_HM355720_Staphylococcus_epidermidis,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_5805,V4_HM370064_Rhodobacter_capsulatuS,Rhodobacter,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter
>V4_5804,V4_HM362783_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_5807,V4_HM371198_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_5806,V4_HM371196_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_939,V4_AE017194_Bacillus_cereus_ATCC_10987,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_938,V4_AE017194_Bacillus_cereus_ATCC_10987,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_935,V4_AE016830_Enterococcus_faecalis_V583,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_934,V4_AE016830_Enterococcus_faecalis_V583,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_937,V4_AE016830_Enterococcus_faecalis_V583,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_936,V4_AE016830_Enterococcus_faecalis_V583,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_931,V4_AE015929_Staphylococcus_epidermidis_ATCC_12228,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_930,V4_AE015929_Staphylococcus_epidermidis_ATCC_12228,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_933,V4_AE015929_Staphylococcus_epidermidis_ATCC_12228,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_932,V4_AE015929_Staphylococcus_epidermidis_ATCC_12228,Staphylococcus_epidermidis,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_1126,V4_AEZY01000016_Escherichia_coli_91649,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1127,V4_AEZY01000016_Escherichia_coli_91649,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1124,V4_AEZP01000133_Escherichia_coli_970264,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1125,V4_AEZY01000016_Escherichia_coli_91649,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1122,V4_AEZP01000131_Escherichia_coli_970264,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1123,V4_AEZP01000132_Escherichia_coli_970264,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1120,V4_AEZP01000101_Escherichia_coli_970264,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1121,V4_AEZP01000124_Escherichia_coli_970264,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1128,V4_AEZY01000018_Escherichia_coli_91649,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_1129,V4_AEZY01000030_Escherichia_coli_91649,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_5665,V4_HE598711_Rhodobacter_sp_JA742,Rhodobacter,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter
>V4_5664,V4_HE573914_Lactobacillus_gasseri,Lactobacillus,16,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
>V4_5667,V4_HE660034_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_5666,V4_HE646426_Enterococcus_faecalis,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_5661,V4_HC868365_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_5660,V4_HC868364_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_5663,V4_HE572577_Rhodobacter_sp_JA737,Rhodobacter,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter
>V4_4142,V4_CP002334_Helicobacter_pylori_Lithuania75,Helicobacter,5,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__pylori
>V4_5669,V4_HE660037_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_5668,V4_HE660036_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4140,V4_CP002332_Helicobacter_pylori_Gambia94-24,Helicobacter,5,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__pylori
>V4_4411,V4_DQ232514_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_4410,V4_DQ232513_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_759,V4_ADUL01000071_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_758,V4_ADUL01000057_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_4413,V4_DQ232516_Streptococcus_agalactiae,Streptococcus_agalactiae,23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
>V4_751,V4_ADUK01000025_Escherichia_coli_1827_70,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_750,V4_ADUK01000024_Escherichia_coli_1827_70,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_753,V4_ADUK01000028_Escherichia_coli_1827_70,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_752,V4_ADUK01000028_Escherichia_coli_1827_70,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_755,V4_ADUL01000050_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_754,V4_ADUL01000041_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_757,V4_ADUL01000051_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_756,V4_ADUL01000050_Escherichia_coli_2362_75,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_6518,V4_JN668705_Acinetobacter_baumannii_OIFC137,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6519,V4_JN668744_Acinetobacter_baumannii_OIFC137,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6516,V4_JN668610_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6517,V4_JN668646_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_4135,V4_CP002176_Streptococcus_pneumoniae_670_6B,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_6514,V4_JN668599_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_2202,V4_AGOI01000005_Streptococcus_pneumoniae_GA44500,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_6515,V4_JN668600_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_3728,V4_BA000033_Staphylococcus_aureus_subsp_aureus_MW2,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2203,V4_AGOI01000013_Streptococcus_pneumoniae_GA44500,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_6512,V4_JN668597_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_3729,V4_BA000033_Staphylococcus_aureus_subsp_aureus_MW2,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2200,V4_AGOH01000010_Streptococcus_pneumoniae_NP070,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_6513,V4_JN668598_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6314,V4_JN180971_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_6315,V4_JN185439_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_6316,V4_JN187086_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_6317,V4_JN201949_Enterococcus_faecalis,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_6310,V4_JN180965_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_6510,V4_JN668579_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6312,V4_JN180968_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_6313,V4_JN180970_escherichia_coli,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_2206,V4_AGOJ01000012_Streptococcus_pneumoniae_GA41410,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_6511,V4_JN668587_Acinetobacter_baumannii_OIFC109,Acinetobacter,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
>V4_6318,V4_JN206615_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_6319,V4_JN215504_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_2207,V4_AGOJ01000014_Streptococcus_pneumoniae_GA41410,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_855,V4_ADZF01000010_Propionibacterium_acnes_HL072PA1,Propionibacterium,36,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
>V4_2204,V4_AGOI01000015_Streptococcus_pneumoniae_GA44500,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_3722,V4_BA000018_Staphylococcus_aureus_subsp_aureus_N315,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2205,V4_AGOI01000016_Streptococcus_pneumoniae_GA44500,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_853,V4_ADZC01000004_Propionibacterium_acnes_HL083PA1,Propionibacterium,36,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
>V4_3720,V4_BA000018_Staphylococcus_aureus_subsp_aureus_N315,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_851,V4_ADYY01000007_Propionibacterium_acnes_HL110PA2,Propionibacterium,36,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
>V4_3366,V4_AY132050_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3367,V4_AY132051_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3364,V4_AY132048_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3365,V4_AY132049_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3362,V4_AY132046_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3363,V4_AY132047_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3360,V4_AY132044_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3361,V4_AY132045_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3368,V4_AY132052_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3369,V4_AY132053_Neisseria_meningitidis,Neisseria,18,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
>V4_3090,V4_AIGA01000062_Escherichia_coli_DEC7A,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3091,V4_AIGB01000001_Escherichia_coli_DEC7B,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3092,V4_AIGB01000026_Escherichia_coli_DEC7B,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3093,V4_AIGB01000031_Escherichia_coli_DEC7B,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3094,V4_AIGB01000036_Escherichia_coli_DEC7B,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3095,V4_AIGB01000037_Escherichia_coli_DEC7B,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3096,V4_AIGC01000016_Escherichia_coli_DEC7C,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3097,V4_AIGC01000019_Escherichia_coli_DEC7C,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
>V4_3098,V4_AIGC01000023_Escherichia_coli_DEC7C,Escherichia,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
